/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 20,1: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 6,7: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 5,9: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 6,2: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 24,9: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 6,7: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 6,7: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 6,2: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 68,6: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 12,4: integer expression expected
/home/elefrea/Uni/MonitoringSystem/sonde2_cpu.sh: line 14: [: 26,7: integer expression expected
